index,query_idx,run_time_s,exec_time,time_since_execution_s,g_offset_since_start_s,timeout,error
0,201,2.0131938457489014,1.4040229320526123,1.001418113708496,1.001418113708496,False,False
1,207,2.0135691165924072,0.08125495910644531,2.0086309909820557,2.0086309909820557,False,False
2,120,3.0204811096191406,2.016314744949341,3.0148279666900635,3.0148279666900635,False,False
3,163,1.00608491897583,0.6618118286132812,4.022338151931763,4.022338151931763,False,False
4,172,2.0128371715545654,0.5281651020050049,5.0285539627075195,5.0285539627075195,False,False
5,61,2.0132369995117188,1.051368236541748,6.035494089126587,6.035494089126587,False,False
6,122,2.0143041610717773,0.9209239482879639,7.0415239334106445,7.0415239334106445,False,False
7,48,2.0145089626312256,0.2505769729614258,8.048900127410889,8.048900127410889,False,False
8,59,2.0142147541046143,0.7365870475769043,9.056005239486694,9.056005239486694,False,False
9,148,2.0125818252563477,0.9235720634460449,10.06358027458191,10.06358027458191,False,False
10,133,2.010881185531616,0.7694282531738281,11.070320129394531,11.070320129394531,False,False
11,230,3.0173959732055664,2.356105327606201,12.076259136199951,12.076259136199951,False,False
12,184,1.0053608417510986,0.27322983741760254,13.081302165985107,13.081302165985107,False,False
13,236,2.012830972671509,0.19212794303894043,14.086779117584229,14.086779117584229,False,False
14,80,2.0127298831939697,0.4546947479248047,15.093828201293945,15.093828201293945,False,False
15,35,2.0126330852508545,0.04300808906555176,16.099775075912476,16.099775075912476,False,False
16,12,4.031291961669922,3.93831205368042,17.10672616958618,17.10672616958618,False,False
17,82,12.147696018218994,11.168952941894531,18.112508058547974,18.112508058547974,False,False
18,15,1.0108468532562256,0.1995701789855957,19.117536067962646,19.117536067962646,False,False
19,137,1.0095031261444092,0.5523281097412109,20.128515005111694,20.128515005111694,False,False
20,227,1.0072472095489502,0.5466523170471191,21.13814401626587,21.13814401626587,False,False
21,132,1.0083389282226562,0.3376278877258301,22.14552116394043,22.14552116394043,False,False
22,230,4.059388875961304,3.0907719135284424,23.153964042663574,23.153964042663574,False,False
23,153,1.0124001502990723,0.5675971508026123,24.161396980285645,24.161396980285645,False,False
24,160,6.096530914306641,4.446725130081177,25.173920154571533,25.173920154571533,False,False
25,112,1.0250368118286133,0.6054320335388184,26.188316106796265,26.188316106796265,False,False
