index,query_idx,run_time_s,exec_time,time_since_execution_s,g_offset_since_start_s,timeout,error
0,83,2.0046284198760986,1.1382999420166016,1.002293586730957,1.002293586730957,False,False
1,230,4.007194757461548,3.7961831092834473,2.004624843597412,2.004624843597412,False,False
2,40,1.0016229152679443,0.9483492374420166,3.0070178508758545,3.0070178508758545,False,False
3,201,3.0044519901275635,1.7743370532989502,4.008731842041016,4.008731842041016,False,False
4,182,3.0039830207824707,1.109192132949829,5.009730815887451,5.009730815887451,False,False
5,232,1.0012969970703125,0.2622721195220947,6.011886835098267,6.011886835098267,False,False
6,31,2.0011630058288574,0.1627650260925293,7.013272762298584,7.013272762298584,False,False
7,237,2.083627223968506,0.2911801338195801,8.013760566711426,8.013760566711426,False,False
8,204,2.0834150314331055,0.770035982131958,9.014514923095703,9.014514923095703,False,False
9,91,3.001371145248413,2.7986671924591064,10.09745168685913,10.09745168685913,False,False
10,39,1.000148057937622,0.26591992378234863,11.097975730895996,11.097975730895996,False,False
11,90,2.000894069671631,0.12104964256286621,12.098170757293701,12.098170757293701,False,False
12,153,2.0008182525634766,0.30478596687316895,13.09887170791626,13.09887170791626,False,False
13,179,2.001434803009033,0.8468589782714844,14.099110841751099,14.099110841751099,False,False
14,6,2.001451015472412,1.7179019451141357,15.099798679351807,15.099798679351807,False,False
15,123,2.0009868144989014,0.4037768840789795,16.10059380531311,16.10059380531311,False,False
16,173,2.0006279945373535,0.17844414710998535,17.101300954818726,17.101300954818726,False,False
17,12,4.003154039382935,3.32562518119812,18.10162878036499,18.10162878036499,False,False
18,49,2.0015981197357178,1.4367499351501465,19.1019766330719,19.1019766330719,False,False
19,194,3.003514051437378,0.45766711235046387,20.102417707443237,20.102417707443237,False,False
20,203,3.003541946411133,1.8260037899017334,21.103620767593384,21.103620767593384,False,False
21,213,1.0010998249053955,0.2625730037689209,22.10483193397522,22.10483193397522,False,False
22,197,2.002391815185547,1.5579779148101807,23.105981826782227,23.105981826782227,False,False
23,192,2.002364158630371,0.5478761196136475,24.107212781906128,24.107212781906128,False,False
24,12,3.002577066421509,2.1697731018066406,25.10842275619507,25.10842275619507,False,False
25,21,1.0004281997680664,0.27597808837890625,26.10962462425232,26.10962462425232,False,False
26,48,2.0020840167999268,0.23151826858520508,27.11016082763672,27.11016082763672,False,False
27,41,2.0016958713531494,0.3565800189971924,28.111045837402344,28.111045837402344,False,False
28,79,2.001006841659546,0.7924699783325195,29.11229681968689,29.11229681968689,False,False
29,90,2.0017499923706055,0.08965301513671875,30.112789630889893,30.112789630889893,False,False
30,190,2.0024099349975586,0.8511137962341309,31.113351821899414,31.113351821899414,False,False
31,57,2.0017499923706055,0.029632091522216797,32.1145977973938,32.1145977973938,False,False
32,147,2.0010499954223633,1.0851631164550781,33.115808725357056,33.115808725357056,False,False
33,161,2.001163959503174,0.1826801300048828,34.11639380455017,34.11639380455017,False,False
34,187,3.0013670921325684,2.811331033706665,35.116907596588135,35.116907596588135,False,False
35,39,1.0002942085266113,0.24140119552612305,36.11761260032654,36.11761260032654,False,False
36,143,2.0014889240264893,0.18102669715881348,37.117992877960205,37.117992877960205,False,False
37,36,2.002454996109009,0.2551131248474121,38.118321895599365,38.118321895599365,False,False
38,65,2.0015487670898438,0.8972711563110352,39.11952996253967,39.11952996253967,False,False
39,129,4.002600193023682,3.359415054321289,40.12085461616516,40.12085461616516,False,False
40,116,7.004243850708008,6.1594860553741455,41.12112998962402,41.12112998962402,False,False
41,171,4.003377914428711,3.7548229694366455,42.121426820755005,42.121426820755005,False,False
42,15,1.0008161067962646,0.3504648208618164,43.12263870239258,43.12263870239258,False,False
43,214,5.003130912780762,3.740563154220581,44.12351679801941,44.12351679801941,False,False
44,103,2.0010271072387695,1.3569319248199463,45.12407469749451,45.12407469749451,False,False
45,211,4.012379884719849,2.545574903488159,46.12486290931702,46.12486290931702,False,False
46,186,4.013261079788208,3.5827391147613525,47.12519192695618,47.12519192695618,False,False
47,118,2.01180100440979,1.8415169715881348,48.125441789627075,48.125441789627075,False,False
48,25,3.012706995010376,0.8763542175292969,49.12669777870178,49.12669777870178,False,False
49,194,1.0011591911315918,0.5308628082275391,50.13729381561279,50.13729381561279,False,False
50,202,2.0022289752960205,0.39970827102661133,51.13850283622742,51.13850283622742,False,False
51,236,2.0022168159484863,0.24532294273376465,52.13945388793945,52.13945388793945,False,False
52,125,2.001542091369629,0.12974905967712402,53.14078068733215,53.14078068733215,False,False
53,35,2.001436233520508,0.03111100196838379,54.14171767234802,54.14171767234802,False,False
54,224,2.001645088195801,0.2584061622619629,55.142369747161865,55.142369747161865,False,False
55,56,2.0020551681518555,0.2621750831604004,56.143200635910034,56.143200635910034,False,False
56,13,2.002391815185547,0.16800880432128906,57.14406394958496,57.14406394958496,False,False
57,60,2.001603126525879,0.5007922649383545,58.14530372619629,58.14530372619629,False,False
58,22,2.0010550022125244,1.3720080852508545,59.1465117931366,59.1465117931366,False,False
59,166,2.001879930496216,0.7710332870483398,60.146955728530884,60.146955728530884,False,False
60,31,2.0024728775024414,0.1660478115081787,61.147615909576416,61.147615909576416,False,False
61,94,2.0019400119781494,0.1507129669189453,62.14888286590576,62.14888286590576,False,False
62,206,4.003216028213501,3.06445574760437,63.15013575553894,63.15013575553894,False,False
63,0,1.0010859966278076,0.25223302841186523,64.15087485313416,64.15087485313416,False,False
64,149,3.002279043197632,2.1979618072509766,65.15201377868652,65.15201377868652,False,False
65,6,3.002868890762329,2.6659200191497803,66.15264177322388,66.15264177322388,False,False
66,32,1.0008831024169922,0.1638779640197754,67.15340971946716,67.15340971946716,False,False
67,98,2.002366065979004,1.645339012145996,68.1543517112732,68.1543517112732,False,False
68,32,2.002235174179077,0.1203148365020752,69.15555667877197,69.15555667877197,False,False
69,142,2.002255916595459,0.7754340171813965,70.15676474571228,70.15676474571228,False,False
70,31,2.0023720264434814,0.16635513305664062,71.15785765647888,71.15785765647888,False,False
71,78,2.0020110607147217,0.9090659618377686,72.1590666770935,72.1590666770935,False,False
72,211,2.002048969268799,1.8646090030670166,73.16028070449829,73.16028070449829,False,False
73,80,2.00226092338562,0.6525378227233887,74.1611258983612,74.1611258983612,False,False
74,70,2.0015182495117188,0.16528677940368652,75.16238474845886,75.16238474845886,False,False
75,66,4.003198862075806,3.7157669067382812,76.16343569755554,76.16343569755554,False,False
76,210,1.0011849403381348,0.49850916862487793,77.16395592689514,77.16395592689514,False,False
77,213,1.0011589527130127,0.39540696144104004,78.16518878936768,78.16518878936768,False,False
78,183,2.001418352127075,1.3637733459472656,79.16642165184021,79.16642165184021,False,False
79,27,2.001509189605713,0.25652098655700684,80.16668176651001,80.16668176651001,False,False
80,62,2.0015411376953125,0.016087055206298828,81.1678946018219,81.1678946018219,False,False
81,43,2.002479076385498,1.2573740482330322,82.16823768615723,82.16823768615723,False,False
82,202,2.0016820430755615,0.40734171867370605,83.16951966285706,83.16951966285706,False,False
