index,query_idx,run_time_s,exec_time,time_since_execution_s,g_offset_since_start_s,timeout,error
0,162,1.0011718273162842,0.7119772434234619,1.0002942085266113,1.0002942085266113,False,False
1,131,2.0011980533599854,1.2302169799804688,2.0015170574188232,2.0015170574188232,False,False
2,192,2.001361846923828,0.8189609050750732,3.001763105392456,3.001763105392456,False,False
3,87,2.000808000564575,0.11902999877929688,4.002764940261841,4.002764940261841,False,False
4,145,2.001638889312744,1.032155990600586,5.0031821727752686,5.0031821727752686,False,False
5,145,2.002150058746338,0.8805501461029053,6.003622055053711,6.003622055053711,False,False
6,129,4.002938270568848,3.72385311126709,7.004871845245361,7.004871845245361,False,False
7,100,1.0003352165222168,0.6022861003875732,8.005822896957397,8.005822896957397,False,False
8,123,1.0003468990325928,0.6744329929351807,9.006211996078491,9.006211996078491,False,False
9,207,2.001461982727051,0.11099600791931152,10.006612062454224,10.006612062454224,False,False
10,4,5.003915071487427,4.822127103805542,11.00785779953003,11.00785779953003,False,False
11,227,1.0010061264038086,0.47516584396362305,12.008133888244629,12.008133888244629,False,False
12,82,16.01526689529419,15.373559951782227,13.009191989898682,13.009191989898682,False,False
13,139,5.0042431354522705,4.803343772888184,14.0103018283844,14.0103018283844,False,False
14,123,1.0012128353118896,0.8410778045654297,15.010560035705566,15.010560035705566,False,False
15,227,1.0010759830474854,0.6555421352386475,16.011828899383545,16.011828899383545,False,False
16,115,1.0012328624725342,0.7451062202453613,17.01296615600586,17.01296615600586,False,False
17,143,2.001325845718384,0.3425312042236328,18.014255046844482,18.014255046844482,False,False
18,231,2.002066135406494,0.11714410781860352,19.01462197303772,19.01462197303772,False,False
19,73,2.001286268234253,0.0492558479309082,20.01567578315735,20.01567578315735,False,False
20,18,2.001559019088745,1.664290189743042,21.01675295829773,21.01675295829773,False,False
21,119,2.0024890899658203,0.4067230224609375,22.01702094078064,22.01702094078064,False,False
22,135,2.00239896774292,0.21387982368469238,23.018358945846558,23.018358945846558,False,False
23,153,2.0014638900756836,0.49782872200012207,24.019556045532227,24.019556045532227,False,False
24,163,2.0012218952178955,0.8661739826202393,25.02082395553589,25.02082395553589,False,False
25,237,2.0021870136260986,0.3753359317779541,26.02106809616089,26.02106809616089,False,False
26,223,3.0035698413848877,0.12075281143188477,27.022093057632446,27.022093057632446,False,False
27,28,1.0011570453643799,0.05788111686706543,28.02330183982849,28.02330183982849,False,False
28,128,2.0023820400238037,1.061734914779663,29.024507999420166,29.024507999420166,False,False
29,12,6.005254030227661,5.656581163406372,30.025711059570312,30.025711059570312,False,False
30,223,1.0004160404205322,0.10760927200317383,31.026937007904053,31.026937007904053,False,False
31,33,2.0018348693847656,1.0134038925170898,32.02740001678467,32.02740001678467,False,False
