method,q_error,abs_error
Heuristic,1.0826,0.1655
Heuristic,1.4986,1.998
Heuristic,1.2511,0.402
Heuristic,1.9108,1.4332
Heuristic,1.5973,0.5987
Heuristic,1.054,0.2053
Heuristic,1.6485,1.5767
Heuristic,1.7121,0.7137
Heuristic,1.0984,0.4486
Heuristic,1.6977,0.6993
Heuristic,1.5009,1.0028
Heuristic,1.8742,1.4017
Heuristic,1.8542,0.8561
Heuristic,2.5981,3.2013
Heuristic,1.0001,0.0005
Heuristic,1.0514,0.3605
Heuristic,1.0905,0.1661
Heuristic,1.1983,0.398
Heuristic,1.1436,0.252
Heuristic,1.3309,0.4974
Heuristic,1.4995,0.9997
Heuristic,1.6007,0.6009
Heuristic,1.2002,0.601
Heuristic,1.833,0.8338
Heuristic,1.0328,0.1644
Heuristic,1.6678,0.6679
Heuristic,1.5021,0.5026
Heuristic,1.1638,1.4102
Heuristic,1.2838,0.2845
Heuristic,1.2233,1.6453
Heuristic,1.3849,0.835
Heuristic,1.7156,1.2531
Heuristic,1.2,0.5009
Heuristic,1.4284,0.4287
Heuristic,1.8009,1.7812
Heuristic,1.0005,0.0009
Heuristic,1.1296,0.8045
Heuristic,1.091,0.2504
Heuristic,1.0007,0.0022
Heuristic,1.2478,0.2483
Heuristic,1.1444,0.253
Heuristic,1.8009,1.3361
Heuristic,1.8328,0.8341
Heuristic,1.0629,0.1258
Heuristic,1.0814,0.3766
Heuristic,1.5003,0.5006
Heuristic,1.1385,0.5545
Heuristic,1.5719,0.5721
Heuristic,1.6658,2.0004
Heuristic,1.1669,0.167
Heuristic,1.077,0.1431
Heuristic,1.7008,1.4024
Heuristic,2.1817,1.6261
Heuristic,1.9104,0.9106
Heuristic,1.287,0.4469
Heuristic,1.1416,0.2839
Heuristic,1.2009,0.3352
Heuristic,1.01,0.1693
Heuristic,1.4289,0.429
Heuristic,1.111,0.2222
Heuristic,1.2003,1.0024
Heuristic,1.1996,0.9989
Heuristic,1.996,2.9961
Heuristic,1.6666,0.6673
Heuristic,2.0001,1.001
Heuristic,2.0057,2.0124
Heuristic,1.0837,0.1675
Heuristic,1.1994,0.3327
Heuristic,1.1105,0.1991
Heuristic,1.047,0.0898
Heuristic,1.364,0.8015
Heuristic,2.1661,1.1675
Heuristic,1.1112,0.2226
Heuristic,1.0002,0.0004
Heuristic,1.1433,0.2869
Heuristic,1.1998,0.3333
Heuristic,1.2871,1.1492
Heuristic,1.0533,0.3543
Heuristic,1.1424,0.3741
Heuristic,1.0905,0.249
Heuristic,1.143,0.3756
Heuristic,1.1612,0.8338
Heuristic,1.317,1.4451
Heuristic,1.312,0.714
Heuristic,1.5386,0.539
Heuristic,1.0004,0.0007
Heuristic,2.3996,1.7511
Heuristic,1.4166,0.8341
Heuristic,1.4999,0.6673
Heuristic,1.3501,1.4015
Heuristic,1.0003,0.0011
Heuristic,1.5625,1.1258
Heuristic,1.7998,1.3343
Heuristic,1.8016,0.8018
Heuristic,1.1107,0.2217
Heuristic,1.3331,1.0005
Heuristic,1.2486,0.5978
Heuristic,1.0011,0.0033
Heuristic,1.0021,0.0062
Heuristic,1.5906,0.5946
Heuristic,1.3327,0.6662
Heuristic,1.5997,0.7504
Heuristic,1.6302,2.5228
Heuristic,1.6244,0.6251
Heuristic,1.8891,0.8899
Heuristic,1.0003,0.0006
Heuristic,1.0473,0.142
Heuristic,1.7139,0.7147
Heuristic,1.4003,0.8013
Heuristic,1.2857,0.4447
Heuristic,1.0833,0.3336
Heuristic,1.2499,0.2502
Heuristic,1.4993,0.9995
Heuristic,1.3335,1.0011
Heuristic,1.3334,1.001
Heuristic,1.2278,0.5573
Heuristic,1.1189,2.8554
Heuristic,1.0001,0.0004
Heuristic,1.5239,1.3762
Heuristic,2.0013,1.0016
Heuristic,1.4996,0.5002
Heuristic,1.4007,0.802
Heuristic,1.2,0.6007
Heuristic,1.2496,0.7496
Heuristic,1.6244,0.6251
Heuristic,1.1103,0.1988
Heuristic,1.5629,1.1264
Heuristic,1.0885,0.4883
Heuristic,1.0626,0.1253
Heuristic,1.2727,0.4289
Heuristic,1.0009,0.0018
Heuristic,1.0001,0.0003
Heuristic,1.1432,0.5015
Heuristic,1.2997,1.2001
Heuristic,1.167,0.1671
Heuristic,1.3504,0.7794
Heuristic,1.4993,1.0003
Heuristic,1.6016,0.6024
Heuristic,1.3039,1.5212
Heuristic,1.8897,0.8909
Heuristic,1.176,0.599
Heuristic,1.2499,1.0004
Heuristic,2.6677,1.6684
Heuristic,2.0025,1.0029
Heuristic,1.2003,0.3342
Heuristic,1.331,0.9956
Heuristic,1.0742,1.8563
Heuristic,2.1657,1.1672
Heuristic,1.9992,2.0008
Heuristic,1.1909,0.5734
Heuristic,1.8746,0.8756
Heuristic,1.3974,0.5695
Heuristic,1.1997,0.3331
Heuristic,1.6303,2.5229
Heuristic,1.5001,0.5007
Heuristic,1.2856,0.6672
Heuristic,1.429,0.4291
Heuristic,1.0425,1.141
Heuristic,1.6669,0.6673
Heuristic,2.501,1.5018
Heuristic,1.2221,0.4445
Heuristic,1.6046,3.7705
Heuristic,1.0808,0.3742
Heuristic,1.6019,0.6021
Heuristic,1.5544,0.5545
Heuristic,1.0835,0.5011
Heuristic,1.1009,0.2019
Heuristic,1.2561,1.4281
Heuristic,1.6679,0.668
Heuristic,1.6016,0.6023
Heuristic,1.2002,1.0019
Heuristic,1.0329,0.855
Heuristic,1.5,3.0022
Heuristic,1.6679,0.6681
Heuristic,1.7491,0.75
Heuristic,1.6263,0.6265
Heuristic,1.9093,0.91
Heuristic,2.0014,1.0018
Heuristic,1.2499,1.0005
Heuristic,1.4007,0.4012
Heuristic,1.5707,0.5714
Heuristic,1.2222,0.8895
Heuristic,1.2499,0.2501
Heuristic,2.1,1.5729
Heuristic,1.8743,0.8753
Heuristic,1.6297,2.5215
Heuristic,1.5708,0.5715
Heuristic,1.2491,0.2494
Heuristic,1.4172,0.835
Heuristic,1.3333,0.5004
Heuristic,1.2665,0.8001
Heuristic,1.4993,0.4999
Heuristic,1.1999,0.4
Heuristic,2.5749,1.8393
Heuristic,1.6267,1.1584
Heuristic,1.2392,1.198
Heuristic,1.5562,0.5566
Heuristic,1.8746,0.8756
Heuristic,1.7496,0.7504
Heuristic,1.2494,0.3994
Heuristic,1.4998,1.0004
Heuristic,1.6303,2.5229
Heuristic,8.3288,20.2533
Heuristic,1.0464,0.399
Heuristic,1.0011,0.0034
Heuristic,1.3842,0.8332
Heuristic,1.0006,0.0012
Heuristic,1.2001,0.3338
Heuristic,1.122,0.8704
Heuristic,1.8579,0.8581
Heuristic,1.8745,0.8755
Heuristic,1.5381,0.5386
Heuristic,1.4277,0.4282
Heuristic,1.4547,0.455
Heuristic,1.8351,0.8353
Heuristic,1.125,0.2502
Heuristic,1.5997,0.7506
Heuristic,1.1996,0.9989
Heuristic,1.5017,1.0039
Heuristic,1.3951,3.4009
Heuristic,1.4281,0.4286
Heuristic,1.1246,0.3326
Heuristic,1.2226,0.4455
Heuristic,1.0771,0.1433
Heuristic,1.2002,0.334
Heuristic,1.272,0.428
Heuristic,1.0001,0.0003
Heuristic,1.0001,0.0003
Heuristic,1.999,1.4998
Heuristic,1.2874,1.15
Heuristic,1.1597,0.639
Heuristic,1.2227,0.4456
Heuristic,1.3375,1.0126
Heuristic,1.0008,0.0008
Heuristic,1.0473,0.1421
Heuristic,2.3323,1.3338
Heuristic,1.0771,0.1433
Heuristic,1.2665,0.8001
Heuristic,1.6244,0.6251
Heuristic,1.0997,0.1995
Heuristic,1.264,0.7943
Heuristic,2.0832,3.2521
Heuristic,2.102,1.1025
Heuristic,1.0011,0.0021
Heuristic,1.2013,3.2243
Heuristic,1.5007,1.0019
Heuristic,1.0001,0.0003
Heuristic,1.2734,0.4299
Heuristic,1.2497,0.9997
Heuristic,1.5016,0.5018
Heuristic,1.6996,0.7004
Heuristic,1.4166,0.8342
Heuristic,1.4008,0.5729
Heuristic,1.0,0.0
Heuristic,1.1998,0.3332
Heuristic,1.0767,0.4275
Heuristic,1.0,0.0001
Heuristic,1.2273,0.556
Heuristic,1.5004,2.0028
Heuristic,2.0013,1.0015
Heuristic,1.2017,3.2288
Heuristic,1.7998,0.8008
Heuristic,1.1998,0.3332
Heuristic,1.2724,0.4285
Heuristic,1.2519,0.504
Heuristic,1.1106,0.3987
Heuristic,1.5716,0.572
Heuristic,1.4557,0.4558
Heuristic,1.3332,0.5001
Heuristic,1.1242,0.221
Heuristic,1.7336,2.2023
Heuristic,1.9287,1.4458
Heuristic,1.25,1.2508
Heuristic,1.1536,0.6662
Heuristic,1.2506,0.2508
Heuristic,1.1669,0.334
Heuristic,1.9998,1.5011
Heuristic,1.1665,0.6665
Heuristic,1.8327,0.8337
Heuristic,2.3986,1.4003
Heuristic,1.1668,0.3339
Heuristic,1.0464,0.399
Heuristic,3.1256,4.2534
Heuristic,1.2228,0.8917
Heuristic,1.1106,0.3986
Heuristic,1.668,2.4073
Heuristic,2.4994,1.5012
Heuristic,1.7864,1.5747
Heuristic,1.6397,1.1739
Heuristic,1.2925,1.173
Heuristic,2.4994,3.0024
Heuristic,1.6369,1.1686
Heuristic,1.8462,0.8472
Heuristic,1.2511,0.5026
Heuristic,1.0001,0.0003
Heuristic,1.047,0.1411
Heuristic,1.5559,0.5564
Heuristic,1.3253,0.4915
Heuristic,1.3334,1.0009
Heuristic,1.8341,0.8345
Heuristic,1.2274,1.3653
Heuristic,1.2497,0.3998
Heuristic,1.1426,0.2497
Heuristic,1.1663,0.2852
Heuristic,2.0001,3.0021
Heuristic,2.199,1.2008
Heuristic,1.9103,0.9106
Heuristic,2.0033,1.0036
Heuristic,1.2509,0.2509
Heuristic,1.1433,0.2509
Heuristic,1.0019,0.0058
Heuristic,1.1674,0.1675
Heuristic,1.1436,0.2514
Heuristic,1.1999,0.6003
Heuristic,1.8912,0.8917
Heuristic,1.2006,0.3345
Heuristic,2.5002,3.0031
Heuristic,1.5555,0.7148
